128;Steven;2200;50
129;Laura;3300;50
130;Mozhe;2800;50
12;James;2500;50
132;TJ;2100;50
133;Jason;3300;50
134;Michael;2900;50
135;Ki;2400;50
136;Hazel;2200;50
137;Renske;3600;50
138;Stephen;3200;50
139;John;2700;50
140;Joshua;2500;50
198;Donald;2600;50
199;Douglas;2600;50
200;Jennifer;4400;10
201;Michael;13000;20
202;Pat;6000;20
203;Susan;6500;40
204;Hermann;10000;70
205;Shelley;12008;110
206;William;8300;110
100;Steven;2500;50
101;Neena;17000;90
102;Lex;17000;90
103;Alexander;9000;60
104;Bruce;6000;60
105;David;4800;60
106;Valli;4800;60
107;Diana;4200;60
108;Nancy;12008;100
109;Daniel;9000;100
110;John;8200;100
111;Ismael;7700;100
112;JoseManuel;7800;100
113;Luis;6900;100
114;Den;11000;30
115;Alexander;3100;30
116;Shelli;2900;30
117;Sigal;2800;30
118;Guy;2600;30
119;Karen;2500;30
120;Matthew;8000;50
121;Adam;8200;50
122;Payam;7900;50
123;Shanta;6500;50
124;Kevin;5800;50
125;Julia;3200;50
126;Irene;2700;50
127;James;2400;50
